feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,26,27,25,2,0,0.8518518518518519,0.9259259259259259,0.07407407407407407
Fruits,monotonic_up,global,21,22,12,10,0,0.09090909090909091,0.5454545454545454,0.45454545454545453
Veggies,monotonic_up,global,26,26,3,23,0,-0.7692307692307693,0.11538461538461539,0.8846153846153846
AnyHealthcare,monotonic_up,global,47,53,1,52,0,-0.9622641509433962,0.018867924528301886,0.9811320754716981
CholCheck,monotonic_up,global,71,101,0,101,0,-1.0,0.0,1.0
Education,monotonic_up,global,42,51,21,30,0,-0.49019607843137253,0.4117647058823529,0.5882352941176471
Income,monotonic_up,global,47,54,43,11,0,3.5925925925925926,0.7962962962962963,0.2037037037037037
Smoker,monotonic_down,global,13,14,2,12,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
HvyAlcoholConsump,monotonic_down,global,54,72,0,72,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,18,20,7,13,0,0.3,0.35,0.65
HighBP,monotonic_down,global,89,120,120,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,59,72,70,2,0,-0.9444444444444444,0.9722222222222222,0.027777777777777776
GenHlth,monotonic_down,global,93,138,133,5,0,-2.130434782608696,0.9637681159420289,0.036231884057971016
MentHlth,monotonic_down,global,48,57,18,39,0,4.140350877192983,0.3157894736842105,0.6842105263157895
PhysHlth,monotonic_down,global,48,59,33,26,0,-4.5423728813559325,0.559322033898305,0.4406779661016949
BMI,bidirectional,global,177,516,516,0,0,-19.447674418604656,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,24,29,29,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,14,14,14,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,4,4,4,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,1,2,2,0,0,1.0,1.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,36,48,48,0,0,1.9166666666666667,1.0,0.0
Income,monotonic_up,per_query,64,82,82,0,0,4.2317073170731705,1.0,0.0
Smoker,monotonic_down,per_query,8,9,9,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,4,4,4,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,118,165,165,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,79,111,111,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,131,217,217,0,0,-2.1705069124423964,1.0,0.0
MentHlth,monotonic_down,per_query,43,51,51,0,0,-10.862745098039216,1.0,0.0
PhysHlth,monotonic_down,per_query,59,73,73,0,0,-12.917808219178083,1.0,0.0
BMI,bidirectional,per_query,193,697,697,0,0,-18.925824964132,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
