rank,feature,taxonomy_class,global_violation_rate,perquery_violation_rate,violation_reduction,global_n_changes,perquery_n_changes,suppression_pattern
1,AnyHealthcare,monotonic_up,1.0,0.0,1.0,50,0,suppressed_entirely
2,CholCheck,monotonic_up,1.0,0.0,1.0,136,0,suppressed_entirely
3,HvyAlcoholConsump,monotonic_down,1.0,0.0,1.0,94,0,suppressed_entirely
4,NoDocbcCost,monotonic_down,1.0,0.0,1.0,11,5,redirected
5,Education,monotonic_up,0.8157894736842105,0.0,0.8157894736842105,38,42,redirected
6,Smoker,monotonic_down,0.6470588235294118,0.0,0.6470588235294118,17,5,redirected
7,Fruits,monotonic_up,0.6428571428571429,0.0,0.6428571428571429,28,13,redirected
8,MentHlth,monotonic_down,0.5740740740740741,0.0,0.5740740740740741,54,43,redirected
9,Veggies,monotonic_up,0.5357142857142857,0.0,0.5357142857142857,28,7,redirected
10,PhysActivity,monotonic_up,0.3333333333333333,0.0,0.3333333333333333,21,30,redirected
11,PhysHlth,monotonic_down,0.2,0.0,0.2,45,78,redirected
12,Income,monotonic_up,0.1666666666666666,0.0,0.1666666666666666,72,128,redirected
13,GenHlth,monotonic_down,0.0638297872340425,0.0,0.0638297872340425,141,218,redirected
14,HighChol,monotonic_down,0.0144927536231884,0.0,0.0144927536231884,69,107,redirected
15,Age,immutable,0.0,0.0,0.0,0,0,no_changes
16,BMI,bidirectional,0.0,0.0,0.0,507,705,no_global_violations
17,DiffWalk,conditional,0.0,0.0,0.0,0,0,no_changes
18,HeartDiseaseorAttack,immutable,0.0,0.0,0.0,0,0,no_changes
19,HighBP,monotonic_down,0.0,0.0,0.0,100,139,no_global_violations
20,Sex,immutable,0.0,0.0,0.0,0,0,no_changes
21,Stroke,immutable,0.0,0.0,0.0,0,0,no_changes
